,0,1,2
24085,27,28,inf
24086,27,28,inf
24087,27,28,inf
24088,27,28,inf
24089,27,28,inf
24090,27,28,inf
24091,27,28,inf
24092,27,28,inf
24093,27,28,inf
24094,27,28,inf
24095,27,28,inf
24096,27,28,inf
24097,27,28,inf
24098,27,28,inf
24099,27,28,inf
24300,28,29,inf
24301,28,29,inf
24302,28,29,inf
24303,28,29,inf
24304,28,29,inf
24305,28,29,inf
24306,28,29,inf
24307,28,29,inf
24308,28,29,inf
24309,28,29,inf
24310,28,29,inf
24311,28,29,inf
24312,28,29,inf
24313,28,29,inf
24314,28,29,inf
24315,28,29,inf
24316,28,29,inf
24317,28,29,inf
24318,28,29,inf
24319,28,29,inf
24320,28,29,inf
24321,28,29,inf
24322,28,29,inf
24323,28,29,inf
24324,28,29,inf
24325,28,29,inf
24326,28,29,inf
24327,28,29,inf
24328,28,29,inf
24329,28,29,inf
24330,28,29,inf
24331,28,29,inf
24332,28,29,inf
24333,28,29,inf
24334,28,29,inf
24335,28,29,inf
24336,28,29,inf
24337,28,29,inf
24338,28,29,inf
24339,28,29,inf
24340,28,29,inf
24341,28,29,inf
24342,28,29,inf
24343,28,29,inf
24344,28,29,inf
24345,28,29,inf
24346,28,29,inf
24347,28,29,inf
24348,28,29,inf
24349,28,29,inf
24500,29,30,inf
24501,29,30,inf
24502,29,30,inf
24503,29,30,inf
24504,29,30,inf
24505,29,30,inf
24506,29,30,inf
24507,29,30,inf
24508,29,30,inf
24509,29,30,inf
24510,29,30,inf
24511,29,30,inf
24512,29,30,inf
24513,29,30,inf
24514,29,30,inf
24515,29,30,inf
24516,29,30,inf
24517,29,30,inf
24518,29,30,inf
24519,29,30,inf
24520,29,30,inf
24521,29,30,inf
24522,29,30,inf
24523,29,30,inf
24524,29,30,inf
24525,29,30,inf
24526,29,30,inf
24527,29,30,inf
24528,29,30,inf
24529,29,30,inf
24530,29,30,inf
24531,29,30,inf
24532,29,30,inf
24533,29,30,inf
24534,29,30,inf
24535,29,30,inf
24536,29,30,inf
24537,29,30,inf
24538,29,30,inf
24539,29,30,inf
24540,29,30,inf
24541,29,30,inf
24542,29,30,inf
24543,29,30,inf
24544,29,30,inf
24545,29,30,inf
24546,29,30,inf
24547,29,30,inf
24548,29,30,inf
24549,29,30,inf
24650,30,31,inf
24651,30,31,inf
24652,30,31,inf
24653,30,31,inf
24654,30,31,inf
24655,30,31,inf
24656,30,31,inf
24657,30,31,inf
24658,30,31,inf
24659,30,31,inf
24660,30,31,inf
24661,30,31,inf
24662,30,31,inf
24663,30,31,inf
24664,30,31,inf
24665,30,31,inf
24666,30,31,inf
24667,30,31,inf
24668,30,31,inf
24669,30,31,inf
24670,30,31,inf
24671,30,31,inf
24672,30,31,inf
24673,30,31,inf
24674,30,31,inf
24675,30,31,inf
24676,30,31,inf
24677,30,31,inf
24678,30,31,inf
24679,30,31,inf
24680,30,31,inf
24681,30,31,inf
24682,30,31,inf
24683,30,31,inf
24684,30,31,inf
24685,30,31,inf
24686,30,31,inf
24687,30,31,inf
24688,30,31,inf
24689,30,31,inf
24690,30,31,inf
24691,30,31,inf
24692,30,31,inf
24693,30,31,inf
24694,30,31,inf
24695,30,31,inf
24696,30,31,inf
24697,30,31,inf
24698,30,31,inf
24699,30,31,inf
24750,31,32,inf
24751,31,32,inf
24752,31,32,inf
24753,31,32,inf
24754,31,32,inf
24755,31,32,inf
24756,31,32,inf
24757,31,32,inf
24758,31,32,inf
24759,31,32,inf
24760,31,32,inf
24761,31,32,inf
24762,31,32,inf
24763,31,32,inf
24764,31,32,inf
24765,31,32,inf
24766,31,32,inf
24767,31,32,inf
24768,31,32,inf
24769,31,32,inf
24770,31,32,inf
24771,31,32,inf
24772,31,32,inf
24773,31,32,inf
24774,31,32,inf
24775,31,32,inf
24776,31,32,inf
24777,31,32,inf
24778,31,32,inf
24779,31,32,inf
24780,31,32,inf
24781,31,32,inf
24782,31,32,inf
24783,31,32,inf
24784,31,32,inf
24785,31,32,inf
24786,31,32,inf
24787,31,32,inf
24788,31,32,inf
24789,31,32,inf
24790,31,32,inf
24791,31,32,inf
24792,31,32,inf
24793,31,32,inf
24794,31,32,inf
24795,31,32,inf
24796,31,32,inf
24797,31,32,inf
24798,31,32,inf
24799,31,32,inf
23462,25,27,491.1469934
23490,25,27,490.589712
23478,25,27,489.2331942
23454,25,27,488.0106568
23483,25,27,487.4195371
23469,25,27,487.2721556
23484,25,27,487.1790422
23499,25,27,486.5816612
23451,25,27,486.0551717
23477,25,27,485.9877455
23450,25,27,485.5409935
23474,25,27,484.8195857
23463,25,27,484.4790336
23456,25,27,484.0623619
23472,25,27,483.9440397
23497,25,27,483.6357694
23493,25,27,483.3709209
23485,25,27,483.3260541
23459,25,27,482.7706544
23488,25,27,482.7113786
23494,25,27,482.7081663
23460,25,27,482.2429406
23476,25,27,482.1310272
23473,25,27,481.9762252
23467,25,27,481.8274559
23480,25,27,481.3539858
23471,25,27,480.9691323
23470,25,27,480.892289
23487,25,27,480.7246626
23486,25,27,480.7046614
23496,25,27,480.1279436
23465,25,27,479.1235296
23492,25,27,478.6850459
23498,25,27,477.239385
23482,25,27,476.3228373
23475,25,27,476.1681085
23458,25,27,475.801244
23495,25,27,475.335787
23491,25,27,474.9469923
23453,25,27,472.808415
23452,25,27,472.5935513
23455,25,27,471.6989833
23461,25,27,471.1032787
23457,25,27,469.74465
23466,25,27,468.4372867
23812,26,28,468.4252757
23840,26,28,467.9554357
23828,26,28,466.630817
23489,25,27,465.9627879
23468,25,27,465.6773011
23804,26,28,465.4435198
23833,26,28,464.940771
23819,26,28,464.7717137
23834,26,28,464.677854
23849,26,28,464.100651
23801,26,28,463.6063612
23464,25,27,463.4144558
23827,26,28,463.4064217
23800,26,28,463.1043068
23824,26,28,462.3736632
23813,26,28,462.1669636
23806,26,28,461.6710777
23822,26,28,461.4419766
23847,26,28,461.2449711
23843,26,28,461.037789
